
48,"Klaytn","$3,649,221,630","$1.40","2,602,412,861","$49,157,976","0.19 %",2022-01-17 12:13:24
49,"LEO Token","$3,534,570,445","$3.77","937,719,426","$385,400","0.42 %",2022-01-17 12:13:24
50,"Helium","$3,224,902,647","$32.06","100,539,362","$13,051,454","-5.60 %",2022-01-17 12:13:24
51,"cDAI","$3,198,442,023","$0.02","146,759,631,932","$8,563,028","-0.28 %",2022-01-17 12:13:24
52,"IOTA","$3,117,793,402","$1.12","2,779,530,283","$29,955,307","-1.88 %",2022-01-17 12:13:24
53,"Aave","$3,104,284,820","$230.11","13,481,306","$287,176,171","-3.21 %",2022-01-17 12:13:24
54,"PancakeSwap","$3,015,024,474","$11.64","259,130,236","$138,132,557","-2.04 %",2022-01-17 12:13:24
55,"cUSDC","$2,976,900,599","$0.02","132,744,941,466","$44,586,714","-0.15 %",2022-01-17 12:13:24
56,"The Graph","$2,930,452,347","$0.56","5,253,842,029","$79,672,546","-4.66 %",2022-01-17 12:13:24
58,"EOS","$2,811,612,957","$2.86","981,124,028","$322,891,034","-1.32 %",2022-01-17 12:13:24
59,"BitTorrent","$2,539,109,935","$0.00","932,497,500,000","$87,339,542","4.94 %",2022-01-17 12:13:24
60,"Kusama","$2,401,306,115","$267.28","8,980,098","$62,175,338","-4.54 %",2022-01-17 12:13:24
61,"Flow","$2,381,479,469","$7.48","318,082,398","$60,981,587","-3.57 %",2022-01-17 12:13:24
63,"Arweave","$2,345,663,107","$46.78","50,108,502","$37,851,370","-4.33 %",2022-01-17 12:13:24
64,"Enjin Coin","$2,228,423,268","$2.38","934,340,660","$146,515,963","-3.82 %",2022-01-17 12:13:24
65,"Stacks","$2,217,918,893","$2.11","1,052,561,462","$42,909,211","-1.88 %",2022-01-17 12:13:24
67,"Quant","$2,195,842,964","$163.63","13,413,953","$25,670,879","-1.33 %",2022-01-17 12:13:24
68,"Bitcoin SV","$2,091,321,870","$110.29","18,953,952","$46,709,527","-2.05 %",2022-01-17 12:13:24
70,"Amp","$1,960,491,470","$0.04","48,013,928,909","$13,799,142","-1.10 %",2022-01-17 12:13:24
71,"Maker","$1,919,677,081","$2,127.04","901,311","$44,345,277","-3.28 %",2022-01-17 12:13:24
73,"eCash","$1,911,170,770","$0.00","18,953,985,923,313","$22,860,281","-1.65 %",2022-01-17 12:13:24
74,"Curve DAO Token","$1,893,819,305","$4.83","391,958,099","$421,275,784","-6.25 %",2022-01-17 12:13:24
75,"Theta Fuel","$1,886,178,774","$0.17","0","$15,556,399","-1.48 %",2022-01-17 12:13:24
77,"THORChain","$1,811,460,289","$6.03","300,250,085","$54,120,218","-4.37 %",2022-01-17 12:13:24
78,"Celo","$1,795,127,219","$4.63","387,111,233","$64,980,399","-6.42 %",2022-01-17 12:13:24
80,"NEO","$1,714,515,510","$24.29","70,530,000","$69,970,959","-3.72 %",2022-01-17 12:13:24
82,"Zcash","$1,688,548,821","$140.38","12,021,094","$169,938,856","-1.48 %",2022-01-17 12:13:24
83,"KuCoin Token","$1,610,904,789","$20.99","76,729,977","$14,487,659","2.38 %",2022-01-17 12:13:24
85,"Basic Attention Token","$1,537,324,688","$1.03","1,494,643,334","$82,592,575","-2.59 %",2022-01-17 12:13:24
86,"Huobi Token","$1,530,256,349","$9.76","156,741,729","$41,731,426","-2.55 %",2022-01-17 12:13:24
87,"Loopring","$1,519,613,435","$1.22","1,245,991,469","$314,316,697","-8.43 %",2022-01-17 12:13:24
89,"Dash","$1,443,301,673","$136.94","10,532,385","$195,581,202","-2.02 %",2022-01-17 12:13:24
90,"TrueUSD","$1,438,923,323","$1.00","1,440,406,188","$107,545,335","-0.31 %",2022-01-17 12:13:24
93,"Chiliz","$1,393,577,884","$0.26","5,344,064,580","$119,955,972","-2.49 %",2022-01-17 12:13:24
94,"Waves","$1,386,001,817","$13.85","100,000,000","$69,346,895","-4.81 %",2022-01-17 12:13:24
94,"Aave [OLD]","$1,253,885,331","$6.02","53,688,345","$13,140","51.13 %",2022-01-17 12:13:24
95,"Celsius Network","$1,325,549,332","$3.13","423,415,980","$2,022,109","-0.88 %",2022-01-17 12:13:24
96,"Sushi","$1,288,670,486","$6.68","192,789,256","$183,139,899","-3.64 %",2022-01-17 12:13:24
97,"NEXO","$1,269,768,043","$2.27","560,000,010","$4,501,416","-0.73 %",2022-01-17 12:13:24
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2022-01-17 12:13:24
99,"Mina Protocol","$1,179,999,370","$3.35","351,788,555","$28,954,415","-4.15 %",2022-01-17 12:13:24
100,"Compound","$1,156,304,027","$182.41","6,334,570","$53,612,460","-3.71 %",2022-01-17 12:13:24
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2022-01-17 12:13:24
